street_id,noise_day,noise_evening,noise_night,road_length,road_category,distance_to_road
5262,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),70.29882767546229,residential,0.0
5263,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.657363871617,residential,0.0
5264,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),99.19634273277087,residential,0.04665626568333064
5265,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),53.68570042144785,living_street,0.0
5266,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),26.60353645237025,living_street,0.0
5267,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),40.404774656844324,living_street,0.0
5268,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),74.20463485679032,residential,0.0
5269,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),130.9067925150366,residential,0.0
5270,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),30.604841479020067,residential,0.0
5271,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),34.694098691465626,residential,1.074597149640015
5272,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),73.4130755827326,tertiary,0.23717184526251844
5273,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),17.744247939801372,residential,136.56784760497328
5274,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),108.22511171845537,primary,0.0
5275,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),129.83848286240251,living_street,0.0
5276,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),15.251981165686663,residential,0.0
5277,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),91.18078633675465,residential,1.536797904687763
5278,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),132.3093144739426,tertiary,0.0
5279,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),78.29001158454776,living_street,0.0
5280,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),34.38770534222665,residential,0.0
5281,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),140.7765983151205,residential,0.0
5282,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),141.2869485211279,residential,0.0
5283,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),120.93176938557369,residential,0.0
5284,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),64.419914502099,residential,0.2775289983365948
5285,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),110.43421194420571,living_street,0.0
5286,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),130.7562578790957,living_street,0.0
5287,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),27.756156007418188,living_street,0.0
5288,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),16.22048409696464,tertiary,0.4561580320126188
5289,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),79.72079564197004,living_street,0.0
5290,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),346.1932003619451,residential,0.0
5291,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),99.81456667846555,residential,0.0
5292,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),83.02289373448563,residential,0.0
5293,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),132.54107748451287,residential,0.0
5294,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),42.54116874091518,secondary,0.5690335797265963
5295,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),21.8544494363573,living_street,0.7027628099897509
5296,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),132.12527446160883,residential,0.0
5297,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),129.9941213054296,residential,0.0
5298,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),56.736952719950494,residential,10.463603776848355
5299,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),57.526365747173834,living_street,0.0
5300,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),60.99046898119572,secondary,227.99408778420468
5301,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),63.922264459409845,trunk,1.9226328921867806
5302,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),28.12510696647985,residential,0.0
5303,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.44239425372211,tertiary,0.9665122391681013
5304,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),86.86346648165447,living_street,0.0
5305,60 - 65 dB(A),60 - 65 dB(A),< 40 dB(A),558.9254156029177,living_street,6.6097362343647585
5306,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),31.088279888431543,residential,0.0
5307,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),93.25672368570525,residential,0.0
5308,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),194.67603535637033,primary,0.0
5309,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),22.836082306538767,residential,32.39385911006429
5310,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),74.60229186455618,trunk,0.0
5311,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),69.49250316929,residential,0.0
5312,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),103.81369482857693,tertiary,0.0
5313,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),140.63733600066624,tertiary,11.494733810744565
5314,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),37.357747778813916,residential,0.006688786185981015
5315,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),29.376165735292936,residential,0.0
5316,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.56174611844254,tertiary,0.0
5317,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),39.64897621895838,living_street,0.0
5318,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),46.185112680753406,residential,0.0
5319,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),119.64892129470587,residential,0.405710227330361
5320,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),283.3149050618265,residential,0.0
5321,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),70.84960733316537,residential,0.0
5322,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),75.15563293937848,residential,0.0
5323,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),32.514685159775325,secondary,0.0
5324,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),132.87092552711496,tertiary,0.0
5325,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),212.05828083734653,tertiary,1.661965963338723
5326,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),159.87222872587603,living_street,0.0
5327,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),118.66974405706739,tertiary,0.0
5328,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),62.74910863442901,living_street,0.11108631363644188
5329,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),101.57299646975872,residential,0.0
5330,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),99.03343311933925,living_street,0.0
5331,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),56.02466565874944,residential,0.0
5332,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),161.80386676696455,residential,0.3341391485139112
5333,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A),232.8560847509229,residential,0.0
5334,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),47.176111573735014,residential,0.0
5335,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),41.35831472673228,living_street,0.0
5336,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),34.67568362254643,residential,0.0
