road_id,lden_db
1119093920_4358780493_0,62.0
1119093920_1119093872_0,62.0
1119093947_1119093840_0,62.0
1119104426_1119104440_0,57.0
1119104427_1119104426_0,57.0
1119104427_607644080_0,57.0
1119104440_1119104444_0,57.0
1119104443_1119104440_0,57.0
1119104443_1187702159_0,61.0
1119104444_1119065633_0,57.0
1119106283_1119106285_0,57.0
1119106283_4358780505_0,57.0
1119106285_4358780513_0,57.0
1119106285_4358780524_0,57.0
1119106285_1119106283_0,57.0
1119106303_1131137281_0,57.0
1119106303_4358780516_0,54.0
1119694752_1512110725_0,59.0
1119694752_1119065732_0,62.0
1124937218_1119093947_0,62.0
1124981404_1124981406_0,59.0
1124981404_2142861448_0,59.0
1124981406_1512110789_0,61.0
1124981406_1124981410_0,64.0
1124981410_1124981411_0,64.0
1124981410_1124981413_0,64.0
1124981411_1243851740_0,64.0
1124981413_607644081_0,64.0
1124981413_1124981438_0,64.0
1124981427_1134264311_0,64.0
1124981427_1676387272_0,63.0
1124981438_1124981460_0,64.0
1124981460_1124981411_0,64.0
1124981481_1119093896_0,64.0
1124981481_1124981460_0,64.0
1128236277_1095440425_0,63.0
1128236277_1113674856_0,56.0
1128236277_1094237264_0,63.0
1129273455_1134266124_0,62.0
1129273455_1186077444_0,62.0
1129273455_1186101430_0,58.0
1129273459_1672512394_0,59.0
1129273462_4558538601_0,69.0
1129273462_1134251269_0,69.0
1129273462_211320731_0,69.0
1129273462_211320732_0,69.0
1129276619_1134264331_0,62.0
1129276619_1119033360_0,62.0
1129276619_1186538320_0,62.0
1129276631_1186538320_0,62.0
1130841540_1134264295_0,64.0
1130841540_1130841542_0,72.0
1130841542_1130841543_0,72.0
1130841543_1130841546_0,72.0
1130841546_211318993_0,69.0
1130841547_1130841546_0,65.0
1130841547_1130841550_0,65.0
1130841550_1131425395_0,65.0
1130841550_1134264320_0,69.0
1130841552_1130841555_0,65.0
1130841552_1130841542_0,65.0
1130841555_1134264311_0,64.0
1130841555_1676387272_0,64.0
1130841563_1134264315_0,62.0
1130841563_1130841567_0,64.0
1130841567_1124981404_0,64.0
1130882691_1134264314_0,59.0
1130882691_607644089_0,63.0
1130882694_1130882708_0,63.0
1130882703_1130882691_0,63.0
1130882703_1130882706_0,59.0
1130882706_1134264292_0,63.0
1130882706_1130882708_0,59.0
1130882708_1134264305_0,63.0
1130882708_1130882711_0,59.0
1130882711_1134264306_0,55.0
1130882711_1472990982_0,63.0
1130898034_1134264316_0,63.0
1130898034_1130898075_0,57.0
1130898039_1119104426_0,57.0
1130898039_1512110783_0,57.0
1130898043_607644080_0,64.0
1130898047_1134264316_0,57.0
1130898057_1130882703_0,63.0
1130898057_1134264332_0,59.0
1130898069_1134264324_0,63.0
1130898069_1134264318_0,59.0
1130898075_1130898047_0,64.0
1130908708_1134264324_0,59.0
1130908709_1187702159_0,56.0
1130908710_1187402195_0,55.0
1130908717_1512110668_0,62.0
1130908717_1130908719_0,57.0
1130908719_1130908720_0,57.0
1130908720_1130898034_0,63.0
1130908720_1134266155_0,59.0
1131137281_4358780510_0,57.0
1131137281_4358780504_0,57.0
1131141534_1131141543_0,56.0
1131141538_1131141543_0,62.0
1131141538_1105037070_0,62.0
1131141541_1095439392_0,62.0
1131141543_1095440170_0,62.0
1131425389_1134264326_0,69.0
1131425393_1134264326_0,69.0
1131425393_1131425395_0,69.0
1131425395_1130841552_0,65.0
1131425423_1134251269_0,69.0
1131453368_1885951239_0,65.0
1131686638_1473068231_0,64.0
1131686638_1130841543_0,56.0
1131686685_1472990981_0,55.0
1131686685_1134264304_0,65.0
1134251269_1131425389_0,59.0
1134264292_1130898069_0,63.0
1134264292_1130898057_0,59.0
1134264295_1512110722_0,64.0
1134264304_1130841540_0,65.0
1134264304_1131686685_0,65.0
1134264305_1134264318_0,63.0
1134264305_1134264292_0,59.0
1134264306_1130898047_0,55.0
1134264309_1130908719_0,62.0
1134264309_5401629306_0,59.0
1134264310_1134264304_0,65.0
1134264310_1124981427_0,63.0
1134264311_1130841540_0,64.0
1134264312_1130898057_0,63.0
1134264312_1130898069_0,59.0
1134264314_1130882706_0,63.0
1134264314_1130882694_0,59.0
1134264315_1124981427_0,64.0
1134264315_1105149728_0,62.0
1134264316_1130882711_0,63.0
1134264316_1134264305_0,59.0
1134264318_1134266155_0,63.0
1134264318_1130898034_0,59.0
1134264320_1131425389_0,69.0
1134264320_211320731_0,59.0
1134264324_1134264333_0,59.0
1134264324_1512110713_0,63.0
1134264326_1131425393_0,69.0
1134264326_1109639597_0,69.0
1134264326_1131425423_0,69.0
1134264330_1130908709_0,59.0
1134264331_1648826945_0,58.0
1134264331_1129276619_0,62.0
1134264332_1134264312_0,59.0
1134264332_1134264330_0,61.0
1134264333_1134264312_0,63.0
1134264333_1134264330_0,59.0
1134266124_1094360277_0,62.0
1134266124_1108381695_0,59.0
1134266124_1129273455_0,62.0
1134266148_1119065774_0,61.0
1134266148_1153010098_0,59.0
1134266155_1134266158_0,63.0
1134266158_1130908708_0,63.0
1134266158_5401629306_0,59.0
1140034957_1140076085_0,57.0
1140034970_1140034971_0,57.0
1140034970_1143654568_0,57.0
1140034970_1243851685_0,57.0
1140034971_1143654563_0,57.0
1140034971_1140034957_0,57.0
1140034972_1140034975_0,46.0
1140034972_1140057812_0,46.0
1140034975_1140035000_0,46.0
1140034975_1140035000_1,46.0
1140035000_1140057812_0,46.0
1140035000_1140057797_0,46.0
1140057797_1140057800_0,46.0
1140057800_1141178073_0,46.0
1140057812_1140057797_0,46.0
1140076085_1140034972_0,46.0
1140076090_1140057800_0,46.0
1140076090_1140076103_0,46.0
1140076103_1143654563_0,57.0
1140076103_1140076106_0,57.0
1140076106_1140034957_0,57.0
1140076106_1140076085_0,57.0
1141178073_1141178094_0,46.0
1141178073_1141178123_0,46.0
1141178073_1145245224_0,46.0
1141178094_1141178104_0,46.0
1141178104_1141178116_0,46.0
1141178104_1512110781_0,54.0
1141178116_1140076090_0,46.0
1141178123_1141178134_0,46.0
1141178123_1141178073_0,46.0
1141178123_1145245219_0,46.0
1141178134_1141178123_0,46.0
1141178134_1141178136_0,46.0
1141178136_1141178134_0,46.0
1141178136_1141191818_0,46.0
1141191817_1145304334_0,46.0
1141191817_1512110760_0,46.0
1141191818_1512110760_0,46.0
1141191818_1141178136_0,46.0
1143654563_1143654564_0,57.0
1143654563_1145592667_0,57.0
1143654564_1512110781_0,54.0
1143654564_1141178116_0,46.0
1143654568_1140034970_0,57.0
1143654568_1141191816_0,57.0
1143654568_1145245213_0,46.0
1145245213_1145245214_0,46.0
1145245213_1145304351_0,54.0
1145245213_1143654568_0,46.0
1145245214_1145264729_0,46.0
1145245214_1145245213_0,46.0
1145245214_1145245219_0,46.0
1145245219_1145245224_0,46.0
1145245219_1141178123_0,46.0
1145245219_1145264718_0,46.0
1145245219_1145245214_0,46.0
1145245224_1145304351_0,54.0
1145245224_1141178073_0,46.0
1145245224_1145245219_0,46.0
1145264718_1145245219_0,46.0
1145264718_1141191818_0,46.0
1145264719_1145264721_0,46.0
1145264721_1145264719_0,46.0
1145264721_1145304336_0,46.0
1145264721_1141191818_0,46.0
1145264729_1145264718_0,46.0
1145304334_1141191816_0,57.0
1145304336_1145264721_0,46.0
1145304336_1512110745_0,46.0
1145304351_1145304362_0,54.0
1145304351_1145592665_0,54.0
1145304362_1141178094_0,54.0
1145592665_1145592667_0,54.0
1145592667_1143654568_0,57.0
1145592711_1092472112_0,46.0
1145592711_1145610668_0,59.0
1145610668_1095439882_0,56.0
1145610668_1092472112_0,59.0
1145610671_1145637542_0,46.0
1145610671_1145610672_0,46.0
1145610672_1145637561_0,46.0
1145637534_1512564831_0,59.0
1145637534_1145637535_0,46.0
1145637535_1145637561_0,46.0
1145637542_1145637552_0,46.0
1145637542_1145644758_0,46.0
1145637542_1145657870_0,46.0
1145637552_1145637567_0,46.0
1145637552_1145637535_0,46.0
1145637561_1512564831_0,46.0
1145637567_1145637552_0,46.0
1145637574_1145610672_0,46.0
1145637574_1145610671_0,46.0
1145644758_1145637542_0,46.0
1145657870_1169016378_0,46.0
1145657870_1169035414_0,46.0
1153010098_1672512313_0,56.0
1153010098_1512110748_0,59.0
1169016284_1169016298_0,46.0
1169016284_1169016378_0,46.0
1169016298_1169016284_0,46.0
1169016298_1169016353_0,46.0
1169016353_1169016298_0,46.0
1169016378_8706350395_0,46.0
1169035368_1169035371_0,46.0
1169035368_1169035433_0,46.0
1169035371_1169035384_0,46.0
1169035371_1169035376_0,46.0
1169035376_1169035388_0,46.0
1169035376_1092219071_0,46.0
1169035384_1169035371_0,46.0
1169035388_1169035376_0,46.0
1169035390_1180833970_0,59.0
1169035390_1169035376_0,46.0
1169035403_1092219016_0,46.0
1169035403_1169035368_0,46.0
1169035414_1169035416_0,46.0
1169035414_1169035403_0,46.0
1169035416_1145637574_0,46.0
1169035433_1169035368_0,46.0
1177120041_10106993225_0,54.0
1177120044_1177120041_0,54.0
1177120044_1177120047_0,54.0
1177120047_1177120059_0,54.0
1177120050_1177183156_0,64.0
1177120050_1512110522_0,54.0
1177120050_1091842294_0,64.0
1177120059_1177120060_0,54.0
1177120060_1177157005_0,63.0
1177120060_1091842276_0,63.0
1177120071_1177157005_0,63.0
1177120071_1177120059_0,54.0
1177120071_1177120098_0,63.0
1177120079_1094077936_0,57.0
1177120079_1177120041_0,54.0
1177120079_1177120094_0,54.0
1177120094_1177120079_0,54.0
1177120098_1177120044_0,54.0
1177120098_10106993225_0,63.0
1177120098_1177120071_0,63.0
1177120124_1094237195_0,57.0
1177120124_1094077936_0,57.0
1177156992_1177156995_0,54.0
1177156992_1177157035_0,54.0
1177156995_1177157005_0,54.0
1177156995_1177157016_0,54.0
1177157005_1177156995_0,54.0
