road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
144581511_142109755_0,1,1,1,5,20410.457748641267,744.8866334464223,0.0,118.16056975321993,0.0,1142.7556681032625,0.0
144581511_27252627_0,1,1,1,5,20402.61725877061,846.6946008943916,0.0,224.47647363469636,0.0,1103.6488679929073,0.0
144581511_144581559_0,1,1,0,5,20650.01965361648,970.893964979625,95.76393989569524,256.2207824961977,0.0,1126.2261057615099,95.76393989569524
144581511_144581534_0,1,1,0,5,20594.202300060417,971.8931584324773,170.55717464913948,257.6706307462181,0.0,1212.463655259135,170.55717464913948
144581534_144533681_0,1,1,0,5,20642.540579169345,1171.1257071456585,278.354647459391,472.8477573208813,0.0,1183.5637759255485,278.354647459391
144581534_144581511_0,1,1,0,5,20594.202300060417,971.8931584324773,170.55717464913948,257.6706307462181,0.0,1212.463655259135,170.55717464913948
144581534_245924422_0,1,1,0,5,20599.06123871293,1171.1257071456585,298.45721363606447,472.8477573208813,0.0,1097.4105777579778,298.45721363606447
144581559_144581511_0,1,1,0,5,20650.01965361648,970.893964979625,95.76393989569524,256.2207824961977,0.0,1126.2261057615099,95.76393989569524
144581559_144581485_0,2,2,1,5,20736.74164074992,851.6510663659159,0.0,151.4599677775594,0.0,1108.5619948744777,0.0
144581559_324241368_0,1,1,0,5,20717.77952442303,970.9322864771714,95.76393989569524,259.4432936673656,0.0,1126.2261057615099,95.76393989569524
144581561_324241366_0,1,1,1,5,20892.6255493324,1082.998716823276,42.54277527788339,333.01992820854144,0.0,957.3307914126093,42.54277527788339
144581561_144581571_0,1,1,0,5,20892.6255493324,1194.050228053401,103.38488830720651,441.0676797648316,0.0,984.3222249646639,103.38488830720651
144581571_144533676_0,1,1,0,5,20899.13838552937,1217.757694902968,27.888191918871815,439.804369490718,0.0,894.760032236892,27.888191918871815
144581571_144581575_0,1,1,0,5,20877.386632350637,1217.0678530322825,113.54385334567426,462.09247747616246,0.0,990.5019002308136,113.54385334567426
144581575_144581561_0,1,1,0,5,20877.386632350637,1194.050228053401,107.88453964119708,441.2333880129638,0.0,991.2570441126318,107.88453964119708
144581575_144581571_0,1,1,0,5,20877.386632350637,1217.0678530322825,113.54385334567426,462.09247747616246,0.0,990.5019002308136,113.54385334567426
144581575_324241371_0,1,1,0,5,20778.27229757382,1213.9587988900719,131.15271239200052,466.4246638011357,0.0,1010.7926376298027,131.15271239200052
144581593_1773426433_0,1,1,1,5,20915.073861810313,906.8195510696635,0.0,155.19553702689637,0.0,903.1128161189133,0.0
144581593_29808807_0,1,1,0,5,20962.347134038155,762.6360135326612,98.9024892498743,0.0,0.0,841.6000838410725,98.9024892498743
144581593_144581482_0,1,1,1,5,20777.08411553084,800.1769487759163,39.465818482145046,99.7646274370014,0.0,903.1128161189133,39.465818482145046
144581609_144581618_0,1,1,1,4,21367.11150034365,844.239317354856,444.5706152106919,0.0,0.0,399.5962396098683,444.5706152106919
144581609_29808804_0,1,1,0,4,21269.212757273555,818.8505964252254,375.42832689091676,0.0,0.0,501.70804346254477,375.42832689091676
144581609_144581613_0,1,1,0,5,21333.263477365836,844.239317354856,300.98454740850326,0.0,0.0,501.49365164959386,300.98454740850326
144581613_144581609_0,1,1,0,5,21333.263477365836,844.239317354856,300.98454740850326,0.0,0.0,501.4936516495939,300.98454740850326
144581613_144533705_0,1,1,0,5,21308.136287027453,1101.3426339619182,279.9737706502133,249.37383093842698,0.0,557.0682484678617,279.9737706502133
144581613_144533703_0,1,1,0,5,21333.263477365836,1100.9443154634964,300.98454740850326,228.08731808638217,0.0,514.2719227378001,300.98454740850326
144581618_144581609_0,1,1,0,4,21367.11150034365,844.239317354856,444.5706152106919,0.0,0.0,399.5962396098683,444.5706152106919
144581618_144581622_0,1,1,0,5,21434.551237019106,865.8101527245193,385.71505624728826,0.0,0.0,399.5962396098683,385.71505624728826
144581618_29808803_0,1,1,1,4,21464.700285562805,865.8101527245193,513.9574859195866,0.0,0.0,336.2667849002216,513.9574859195866
144581622_144581618_0,1,1,0,5,21434.551237019106,865.8101527245193,385.71505624728826,0.0,0.0,399.5962396098683,385.71505624728826
144581622_144533703_0,1,1,0,5,21380.944961980767,1095.3604206057491,340.87183919604587,184.45548383790484,0.0,467.3343496058267,340.87183919604587
144581622_144533710_0,1,1,1,5,21426.014874294935,1093.9373128052807,277.8745116803266,35.446923579544006,0.0,453.4665262847092,277.8745116803266
144581626_144581639_0,1,1,0,5,21684.383524518365,910.0863254893061,609.1282180518609,0.0,0.0,126.58129108540457,609.1282180518609
144581626_144581643_0,2,2,1,5,21910.78476824628,910.0863254893061,846.5826445196126,112.18985533684577,0.0,126.58129108540457,846.5826445196126
144581626_31425398_0,2,2,1,5,21791.221351895852,906.1862447848281,750.9383344625355,0.0,0.0,101.28900509810687,750.9383344625355
144581639_144581626_0,1,1,0,5,21684.383524518365,910.0863254893061,609.1282180518609,0.0,0.0,126.58129108540457,609.1282180518609
144581639_1636238953_0,3,3,2,4,21647.433874915816,1040.1047530856222,560.1225669918383,0.0,0.0,265.9354557748372,560.1225669918383
144581639_31425398_0,2,2,1,4,21684.383524518365,906.1862447848281,609.1282180518609,0.0,0.0,112.50450535095392,609.1282180518609
144581643_31425358_0,1,1,0,5,21978.442259847805,912.8157435349126,790.2662634728287,174.2425016079591,0.0,191.82568980100402,790.2662634728287
144581643_31425396_0,1,1,0,5,21994.099402339503,894.8354449342617,894.8512516134804,174.2425016079591,0.0,191.82568980100402,894.8354449342617
144581643_144581626_0,2,2,1,5,21910.78476824628,910.0863254893061,846.5826445196126,112.18985533684577,0.0,126.58129108540457,846.5826445196126
144806867_144806873_0,1,1,1,5,3914.714602136635,1351.2662009439791,770.1752616008788,660.0537996348468,0.0,286.71008907638446,770.1752616008788
144806867_144806868_0,1,1,0,5,3951.1179416337686,1367.2406563311686,517.1554267519155,660.0537996348468,0.0,67.39046919563461,517.1554267519155
144806867_144806903_0,1,1,1,5,3951.1179416337686,1367.2406563311686,800.1249099400018,653.6456763909274,0.0,316.27434774060254,800.1249099400018
144806868_144806867_0,1,1,0,5,3951.1179416337686,1367.2406563311686,517.1554267519155,660.0537996348468,0.0,67.39046919563461,517.1554267519155
144806868_1847329766_0,1,1,0,5,3993.48758795173,1479.378851396738,517.1554267519155,729.3791968854517,0.0,67.39046919563461,517.1554267519155
