street_id,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m
T03760T,9.23076923076923,33.0,10.377551020408163,36.0
T08429F,10.875,33.0,10.661538461538461,33.0
T07664K,8.571428571428571,12.0,9.545454545454545,27.0
T05851D,11.083333333333334,30.0,11.822033898305085,33.0
T00894U,16.857142857142858,33.0,17.427480916030536,33.0
T08111M,14.38888888888889,33.0,15.056962025316455,33.0
T12697E,12.0,12.0,12.0,12.0
T16797X,12.0,24.0,11.7,24.0
T13028D,24.9,45.0,21.692307692307693,45.0
T14455W,17.28,42.0,13.989795918367347,42.0
T05340L,12.0,12.0,11.842105263157896,12.0
T00904F,18.724137931034484,39.0,18.347368421052632,39.0
T19583X,12.642857142857142,15.0,14.130434782608695,45.0
T06049P,21.9,48.0,21.6,48.0
T03061Z,11.901639344262295,12.0,11.941935483870967,27.0
T00613X,17.083333333333332,24.0,17.523364485981308,27.0
T13483W,12.0,12.0,11.428571428571429,15.0
T17476N,12.0,24.0,11.362204724409448,33.0
T13187R,12.0,12.0,17.0,30.0
T14985R,5.142857142857143,9.0,5.357142857142857,12.0
T15313N,18.75,30.0,17.88888888888889,30.0
T00219R,15.818181818181818,27.0,15.033333333333333,35.0
T00368D,19.375,33.0,17.942307692307693,45.0
T06285Z,10.526315789473685,27.0,10.637837837837838,30.0
T21397W,13.2,15.0,7.4423076923076925,18.0
T12614L,8.785714285714286,12.0,6.763636363636364,12.0
T15914G,14.52,30.0,13.272727272727273,30.0
T02147A,14.55,24.0,17.5609756097561,33.0
T20684W,6.6,12.0,6.0,12.0
T20704J,20.0,51.0,17.571428571428573,51.0
T07248Y,11.797297297297296,30.0,13.675324675324676,36.0
T04880E,12.0,12.0,12.0,12.0
T13942C,17.944444444444443,24.0,17.94943820224719,30.0
T09856Y,10.333333333333334,21.0,10.8,21.0
T01440Y,17.775,27.0,17.51824817518248,27.0
T17492N,12.0,12.0,12.0,12.0
T08097F,14.63076923076923,33.0,15.466666666666667,63.0
T14263Q,21.23076923076923,39.0,21.84,54.0
T18804N,12.0,12.0,12.0,12.0
T03041V,12.6,21.0,10.636363636363637,21.0
T16743J,4.0,6.0,4.0,6.0
T13528S,20.386666666666667,50.32,13.838620689655173,50.32
T03520F,17.175,27.0,17.32330827067669,33.0
T20238E,11.76923076923077,15.0,11.927710843373495,15.0
T18718Q,12.0,12.0,10.933333333333334,18.0
T14801U,16.5,36.0,18.9375,36.0
T14633W,16.5,33.0,21.431818181818183,33.0
T07077X,30.0,33.0,29.38235294117647,36.0
T18987J,17.357142857142858,21.0,18.066666666666666,27.0
T20541I,12.115384615384615,18.0,10.804878048780488,21.0
T06275X,10.734375,36.0,9.993865030674847,36.0
T15642B,16.676470588235293,45.0,16.43243243243243,45.0
T00414S,11.4,12.0,14.347826086956522,24.0
T16076X,18.0,30.0,17.765217391304347,36.0
T11221U,12.0,12.0,12.0,12.0
T19614N,19.90909090909091,45.0,17.0,45.0
T04833X,7.216216216216216,18.0,9.051282051282051,18.0
T02339G,22.8,33.0,21.257142857142856,45.0
T20863X,0.0,0.0,3.0,3.0
P72671,11.44,12.0,11.7375,18.0
T12136C,15.891891891891891,27.0,16.884615384615383,27.0
T20630I,6.0,12.0,6.0,12.0
T06454Y,21.954545454545453,36.0,20.29787234042553,36.0
T11596W,10.695652173913043,12.0,10.78125,12.0
T07940L,9.548780487804878,33.0,11.139705882352942,39.0
T05336P,12.25,18.0,11.8125,18.0
T18068F,13.2,21.0,12.209302325581396,21.0
T05423N,5.310344827586207,12.0,5.1192660550458715,12.0
T02784X,13.171875,33.0,13.6,33.0
