TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T11178I,172,T11178I,133.7912208317657,5,1,8,5,5,1,5,1,0.03737165988108588,0.0074743319762171755,0.059794655809737404,0.03737165988108588,0.03737165988108588,0.0074743319762171755,0.03737165988108588,0.0074743319762171755
T02194H,173,T02194H,175.67776697905344,55,11,100,61,25,3,11,40,0.31307319614642987,0.06261463922928598,0.5692239929935089,0.3472266357260404,0.14230599824837722,0.017076719789805267,0.06261463922928598,0.22768959719740353
T12009W,174,T12009W,85.42371581451906,1,0,2,0,2,2,5,1,0.01170635098771991,0.0,0.02341270197543982,0.0,0.02341270197543982,0.02341270197543982,0.058531754938599544,0.01170635098771991
T03411B,175,T03411B,71.77579220833425,10,4,29,10,10,0,5,17,0.13932273949654642,0.05572909579861857,0.40403594453998465,0.13932273949654642,0.13932273949654642,0.0,0.06966136974827321,0.23684865714412892
T16202L,176,T16202L,180.12618579533333,3,0,5,2,3,0,9,1,0.01665499098175943,0.0,0.02775831830293238,0.011103327321172952,0.01665499098175943,0.0,0.04996497294527829,0.005551663660586476
T21163G,177,T21163G,119.64177900598614,1,0,1,0,0,0,11,0,0.008358284274174543,0.0,0.008358284274174543,0.0,0.0,0.0,0.09194112701591999,0.0
T20976F,178,T20976F,25.145409382291263,0,0,8,0,0,0,0,8,0.0,0.0,0.3181495229755148,0.0,0.0,0.0,0.0,0.3181495229755148
T18547P,179,T18547P,44.69138513612913,37,3,40,34,15,5,10,9,0.8279000502512662,0.06712703110145403,0.8950270813527204,0.7607730191498122,0.33563515550727013,0.11187838516909004,0.2237567703381801,0.20138109330436207
T05001V,180,T05001V,193.49666177536082,9,5,41,9,0,3,22,31,0.04651243033044422,0.025840239072469014,0.2118899603942459,0.04651243033044422,0.0,0.015504143443481408,0.11369705191886366,0.1602094822493079
T00887V,181,T00887V,37.555112174404364,42,6,50,40,7,5,6,7,1.118356398589725,0.15976519979853213,1.3313766649877679,1.0651013319902143,0.1863927330982875,0.13313766649877679,0.15976519979853213,0.1863927330982875
RL0028B,182,RL0028B,220.1218784651579,2,0,7,1,1,0,4,5,0.009085875579226311,0.0,0.03180056452729209,0.004542937789613156,0.004542937789613156,0.0,0.018171751158452622,0.022714688948065775
T01825L,183,T01825L,133.1966172041178,21,4,28,17,9,6,2,3,0.15766166169084045,0.030030792703017225,0.21021554892112057,0.12763086898782322,0.06756928358178876,0.04504618905452584,0.015015396351508612,0.02252309452726292
T10879A,184,T10879A,117.51061228472517,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01701973941854759,0.0
T12228F,185,T12228F,42.17152172879084,5,0,9,3,5,0,7,3,0.11856342372835124,0.0,0.21341416271103222,0.07113805423701074,0.11856342372835124,0.0,0.16598879321969173,0.07113805423701074
T01146V,186,T01146V,51.589214164063705,16,10,49,24,16,6,5,32,0.3101423477612374,0.19383896735077338,0.9498109400187895,0.4652135216418561,0.3101423477612374,0.11630338041046402,0.09691948367538669,0.6202846955224748
T09084E,187,T09084E,127.79038238174968,15,5,39,19,17,2,42,26,0.11737972545688398,0.03912657515229466,0.3051872861878983,0.1486809855787197,0.13303035551780185,0.015650630060917863,0.3286632312792751,0.20345819079193223
RD0103Y,188,RD0103Y,298.3153161056617,0,0,1,0,1,0,1,1,0.0,0.0,0.003352157753931097,0.0,0.003352157753931097,0.0,0.003352157753931097,0.003352157753931097
T11932S,189,T11932S,62.85016359424805,1,0,3,0,6,0,4,2,0.015910857550918426,0.0,0.04773257265275528,0.0,0.09546514530551056,0.0,0.0636434302036737,0.03182171510183685
T07510T,190,T07510T,136.73097010755163,6,0,8,5,4,0,6,2,0.04388179207154343,0.0,0.05850905609539123,0.03656816005961952,0.029254528047695617,0.0,0.04388179207154343,0.014627264023847808
T07958V,191,T07958V,76.3632218938261,59,23,68,77,10,4,4,13,0.7726232410941543,0.3011921109350093,0.8904810236339405,1.0083388061737268,0.1309530917108736,0.05238123668434944,0.05238123668434944,0.1702390192241357
T05306J,192,T05306J,64.25516582937428,5,3,6,6,0,2,4,1,0.07781475521014448,0.04668885312608669,0.09337770625217338,0.09337770625217338,0.0,0.031125902084057796,0.06225180416811559,0.015562951042028898
T08647N,193,T08647N,100.15554760509366,6,1,12,4,1,4,4,6,0.05990681638183021,0.009984469396971701,0.11981363276366042,0.039937877587886805,0.009984469396971701,0.039937877587886805,0.039937877587886805,0.05990681638183021
T13627U,194,T13627U,86.12304107724034,7,5,14,10,1,2,1,7,0.08127906205404402,0.058056472895745725,0.16255812410808804,0.11611294579149145,0.011611294579149145,0.02322258915829829,0.011611294579149145,0.08127906205404402
T07336X,195,T07336X,134.1047818710473,19,5,27,21,14,5,22,3,0.14168025729515038,0.03728427823556589,0.20133510247205583,0.15659396858937674,0.1043959790595845,0.03728427823556589,0.16405082423648992,0.022370566941339536
T05251L,196,T05251L,55.03953270433039,2,0,3,0,0,1,4,1,0.036337517811858976,0.0,0.05450627671778846,0.0,0.0,0.018168758905929488,0.07267503562371795,0.018168758905929488
T06673H,197,T06673H,346.65237622254176,1,0,29,0,1,2,5,27,0.0028847343003875043,0.0,0.08365729471123763,0.0,0.0028847343003875043,0.0057694686007750086,0.014423671501937522,0.07788782611046262
