road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
30237641_30237699_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),133.366454832893,secondary,0
30237641_30237699_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),133.366454832893,secondary,0
30237685_409505319_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),90.14942533519093,residential,0
30237682_3055187871_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),73.30276863432138,tertiary,0
30237682_30294781_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),178.6678861513296,residential,0
30237682_30294781_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),178.6678861513296,residential,0
30237680_30294779_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),136.3483432138274,residential,0
30237679_30617552_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),67.29188691755047,residential,0
30237679_30617552_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),67.29188691755047,residential,0
30237679_30237680_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),77.34440771284414,tertiary,0
13324378812_402875797_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1488.7953102312106,primary,0
13324378812_402875797_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1488.7953102312106,primary,0
13508611893_7038308651_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),2.5761007908280322,residential,0
13456238293_11992098841_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),3.575740076215738,living_street,0
