street_id,signal_count_50,poi_count_50,tree_count_50,transport_count_50
T02082A,2,7,1,1
T00066S,1,8,9,1
T06400K,1,1,6,1
T02921O,1,1,24,1
T02221T,12,10,46,1
T02827R,1,8,26,1
T18455M,1,1,1,1
T11227A,3,8,1,2
T04109C,1,1,1,2
T11366K,3,2,1,1
T14751B,3,1,3,1
T03087J,1,2,1,1
T18936Y,5,1,14,1
T00528B,1,21,1,1
T20274I,1,1,1,1
T13820T,1,1,1,1
T03193K,4,7,1,1
T09441F,2,1,1,1
T07791Q,2,9,1,1
T11633K,1,1,1,1
T19864D,1,3,1,1
T21145E,6,5,6,7
T03655T,1,3,8,1
T03288Q,4,2,48,1
T06931G,1,1,1,1
T02780T,1,3,1,1
T20572P,1,1,43,2
T01635H,1,5,1,1
T19237I,3,1,1,1
T18706M,1,3,1,1
T10110K,6,3,69,1
T19797J,1,1,11,1
T19035A,2,15,137,1
T03646S,3,13,1,1
T18926W,1,2,1,1
T03686A,2,16,1,1
T20461J,5,1,1,1
T16404T,3,1,63,1
T01678S,3,5,87,1
T20264G,3,1,63,1
T10687U,2,1,1,1
T00318T,1,15,1,1
T01367G,1,4,1,1
T15801Y,9,1,1,1
T02764T,1,2,1,1
T19591X,1,1,1,1
T03362J,1,1,1,1
T00779S,1,7,5,1
T17659S,2,1,25,1
T19507L,1,1,1,1
T21348N,1,2,2,1
T11851S,1,1,1,1
T09428I,2,1,1,1
T12264J,3,1,30,2
T04125C,1,1,1,1
T07066U,2,1,3,8
T04809X,1,1,1,2
T06101C,1,1,1,1
T18608L,1,1,1,1
T05418Q,1,1,1,1
T07494K,1,9,1,1
T08862S,1,1,1,1
T02591Q,2,9,27,1
T19337L,3,3,17,3
T10391H,2,3,17,1
T11687Y,2,2,1,1
T05763E,2,1,37,2
T01558L,1,13,1,1
T13949J,7,4,12,1
T06189A,1,1,1,1
T02394N,14,13,20,2
T01112L,1,1,1,1
T10203O,3,2,39,1
T15947P,1,1,1,1
T07488M,1,4,1,1
T09094G,4,1,66,2
T09942V,2,1,92,2
T13620N,1,1,1,1
T19651S,3,2,1,2
P70791,1,6,1,1
T01820G,6,1,1,1
T09277L,2,1,1,1
T03455N,10,6,66,2
T05579G,1,1,27,1
T02042S,2,17,66,3
T12562Q,1,1,1,1
T21010Q,1,3,1,1
T11447K,3,1,1,5
T09695Z,2,1,16,1
T14895Q,10,1,1,3
T09188L,1,10,6,1
T19020T,13,13,18,2
T04100T,1,1,1,1
T11822N,1,1,1,2
T04700L,3,1,1,1
T19282N,3,3,1,1
T18377P,1,1,1,3
T10544G,1,1,1,1
T08144V,1,4,1,1
T01183A,1,1,4,3
T17374I,1,1,1,1
T11249G,2,1,1,1
T13628V,1,1,17,1
T11539N,1,1,1,1
T10414X,1,2,3,1
T09981C,3,4,1,1
T03515I,1,1,1,1
T17529J,1,2,1,1
T19863C,1,1,1,1
T05118H,4,1,1,2
T18514G,1,1,47,1
T00252S,11,3,1,2
RD0122R,1,1,1,1
T04638W,2,1,1,3
T03709Q,9,1,1,1
T18627O,1,7,1,1
T09751Q,1,1,1,1
T01600W,1,8,1,1
T21009X,3,6,1,1
T16045Q,1,1,1,1
T10393J,2,8,10,1
T17163Z,1,12,1,1
T04018A,12,3,1,3
T20639R,1,1,1,1
T11018T,4,4,1,2
T20217Z,8,1,1,2
T09181E,2,12,65,1
T07824I,3,9,1,1
T17193F,1,1,1,6
T07339A,1,2,1,1
T00359C,1,7,1,1
T07036O,1,1,1,1
T11827S,1,1,1,4
T09518J,1,2,31,1
T19594A,1,1,1,1
T02023P,1,4,7,2
T17809O,3,10,1,1
T11973B,1,1,1,1
