street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
3506,tertiary,2,5,1,1,2,8,13,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3507,residential,1,1,1,1,1,5,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3508,pedestrian,1,8,4,1,1,24,4,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3509,secondary,1,1,1,2,1,1,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3510,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3511,tertiary,22,4,32,3,26,11,79,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3512,residential,20,8,96,2,30,10,317,7,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3513,residential,1,1,1,1,1,9,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3514,secondary,3,1,1,1,5,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3515,residential,1,1,1,5,1,1,1,5,< 40 dB(A),< 40 dB(A),< 40 dB(A)
3516,pedestrian,1,5,1,1,4,28,1,2,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A)
3517,residential,6,1,49,2,7,1,104,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3518,tertiary,1,2,8,1,1,7,21,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3519,living_street,1,3,1,1,1,6,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3520,residential,1,1,21,2,6,1,74,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3521,living_street,1,1,16,1,1,1,32,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3522,secondary,17,9,1,6,21,28,2,11,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3523,secondary,7,9,1,1,7,15,2,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3524,living_street,1,1,1,1,1,2,1,4,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
3525,living_street,1,2,3,1,4,12,24,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3526,residential,5,1,1,2,5,1,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3527,residential,1,1,1,1,1,1,7,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3528,residential,7,17,1,1,7,20,8,4,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3529,residential,4,1,1,1,11,4,1,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
