road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main,signals,transport,pois,width,height,betw_centrality,clos_centrality,green_100
412398689_1485622254_0,60,60,55,74.9717299507413,3,0.0,6.667701428000703,5.334161142400562,20.00310428400211,26.573832146075205,20.625,0.0003228980370079,0.0002374998434993,0.0
690679298_359238327_0,55,55,50,34.98232954539118,5,14.680382535269004,2.859055122552777,5.718110245105554,2.859055122552777,43.38972383819754,12.0,0.0009117549503288,0.0001607551228653,0.0
30264320_1088518829_0,55,55,50,10.85548292786223,5,241.43136674329432,18.435753558343297,18.435753558343297,18.435753558343297,31.991558582654985,3.0,0.0030485683756937,0.0001718456925,0.8011018822441114
2128049628_2128049636_0,45,40,35,202.0934045919679,5,302.0519071235356,0.4950002891894774,2.4750014459473872,0.4950002891894774,28.15293230650621,3.72,7.861472120683092e-06,0.0001206358864247,53.15215515934501
30646806_30254286_0,50,45,40,64.67787655085199,5,116.78121832272411,1.546723439834503,3.093446879669006,20.10740471784854,7.188879531739699,7.5,8.853574832398689e-05,0.0001828790912188,0.0
1043834293_7487287878_0,60,60,55,46.78749204307945,2,0.0,17.07231673771151,8.536158368855755,2.134039592213939,25.296294730585807,15.3,0.0331558465768161,0.0002046099094188,3.550378025545748
2578612975_597218424_0,55,55,50,93.47387948937734,3,0.0,4.280632735408919,4.280632735408919,1.0701581838522298,30.13118571853368,9.0,0.0014396540590588,0.0001678336867883,28.0353854689804
7229009478_387127774_0,45,45,40,83.40243219089842,5,545.8752978681777,1.200769962414718,3.6023098872441546,1.200769962414718,16.33244019281821,11.727272727272728,0.0002241147467503,0.0002070057009978,8.493564005968746
1046612981_1046612993_0,45,45,40,43.15682660000697,5,70.66623956760475,2.321275572687612,4.642551145375224,2.321275572687612,9.217375454325898,7.5,0.0002241147467503,0.0001930279528732,0.0
387127682_1520865918_0,45,45,40,107.04351515175276,5,84.18069179864084,0.935002645885615,2.805007937656845,0.935002645885615,26.61768877478682,15.0,0.0002241147467503,0.0002175847848184,12.204065799760262
21638877_30343573_0,50,50,45,59.18819196844728,5,341.17907339581234,1.687455672586771,3.374911345173542,48.936214505016366,6.625427578058327,6.9,1.959088899083965e-06,0.0001699742753433,0.0
2292708174_30312836_0,55,55,50,65.00912996386148,5,206.4404363569647,3.07747741901819,4.6162161285272845,6.15495483803638,24.990082129292688,4.928571428571429,0.0010040330607805,0.0001829737961842,0.0
3302278209_847727784_0,55,50,45,94.14855314241038,5,53.60069459706847,1.0641635056769905,3.1924905170309708,5.320817528384952,14.564224344679022,7.5,0.000665763710872,0.0002188213865768,0.0
637464857_2505271514_0,45,45,40,73.91256975103572,5,121.42790589994952,1.3535220789264382,2.7070441578528763,1.3535220789264382,50.0,0.0,0.0008395951758792,0.0001637720079829,62.99666459945343
30295825_30295627_0,50,50,45,43.80332886376159,5,220.80158709364585,2.2794730110881094,4.558946022176219,2.2794730110881094,7.132673913021863,3.75,0.0004470741333806,0.000174094567476,0.0
1298758085_4139421839_0,55,55,50,53.535648580253365,5,0.0,7.475683915575798,3.737841957787899,1.8689209788939496,36.48749730262494,7.0,0.0015677483332297,0.0001570849138416,18.00644236462545
30297272_30297273_0,55,55,50,198.1781576999802,4,359.8454441892276,1.0103631906397692,1.5155447859596538,0.5051815953198846,32.86012586255632,5.318181818181818,0.0044319865367392,0.0001560575315966,9.984782023188902
1316679287_30296152_0,55,55,50,19.10420122560672,5,223.9086823092358,26.190841346747405,10.476336538698964,5.238168269349481,11.977734157112549,7.5,0.0011651806809923,0.0001633067694957,2.610233170952281
30689120_1312053341_0,55,55,50,84.08289332558023,5,22.57620337822846,5.958852368990031,3.575311421394019,5.958852368990031,13.8820878410369,4.6875,0.00018257201548,0.0002138848451848,0.0
412451710_417979369_0,55,55,50,187.90054462667013,5,334.05950095402943,0.5330930132126026,2.1323720528504104,3.731651092488218,15.334507472737071,8.4,0.0001662462746543,0.0002001305149587,0.0
30227131_30227132_0,50,50,45,68.91258197353841,6,276.595164101492,1.454294502969076,2.908589005938152,23.26871204750521,5.896769551117381,8.25,0.0001005916800106,0.0001977257515676,0.0
35120259_35120262_0,50,50,45,73.54907007105648,5,269.9419173023506,1.3618282209049135,4.085484662714741,2.7236564418098275,44.36419922912644,22.5,0.003174954726209,0.0001593180038546,18.241391420572427
13859746862_13859746847_0,55,55,50,5.443571287623535,5,220.6510856230342,18.39721784725852,36.79443569451704,36.79443569451704,50.0,0.0,0.0001141546031581,0.0001866050894115,5.109281056345662
253795578_253795579_0,60,60,55,13.086793439237791,4,159.09650152477155,45.88638540993812,22.94319270496906,50.0,50.0,0.0,0.0004168589545909,0.0001825203088504,25.58438280415992
940878250_940878268_0,50,50,45,93.1611601285146,5,25.89664723839645,2.1477276185255985,4.295455237051197,1.0738638092627992,25.3278603939142,22.90909090909091,0.0001504228643155,0.0001670473163637,0.0106962383074053
