road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness
30252172_1400693909_0,3,3,2,6,833.6072768212529,1455.845981806057,75.91906473790355,292.40488253746923,4.177041335793158,0.0,0.0,0.0965579262316494,28.987145242333558,0.00067719172945,0.0001833025301471,2.1640623502976387e-05,0.8395656579415315
1809063155_1374370827_0,2,1,1,4,3114.076864845749,3706.2746236015223,342.1454619755032,0.0,0.0,0.0,0.0101467826622369,0.0,50.0,0.0004812828395416,8.114413667075285e-05,4.877134622107498e-06,0.5270216678524877
410301832_4111220660_0,0,0,0,5,428.7253009128319,1718.5101936334474,1458.1820589465358,349.4663243750056,0.0,0.0,0.0,0.0,49.04355966793217,0.000483191695392,0.0001338799821435,1.1627150572183556e-05,0.7295698294077716
863733378_2689711017_0,3,3,2,5,1002.7142361099352,234.62584422356875,1288.7196380897967,47.06339460350054,0.0,0.0292597404354673,0.0,0.0585194808709347,10.163930649427575,0.0045372247737541,0.0002059497240987,2.2345205055301945e-05,0.8120514567987245
347340794_243342778_0,3,3,2,4,207.93110479012464,2153.8296527928856,142.85651954839082,0.0,0.0,0.0666578888103839,0.0222192962701279,0.0148128641800853,37.73653438375426,0.0001704156176959,0.0001608861393924,1.0707506432086284e-05,0.8623686139796223
8473849036_3976600097_0,2,2,2,6,1373.3098646342874,555.0619116565081,142.3158974855275,88.6926052635471,20.521768280288885,0.1673073764890381,0.0535129983168081,0.4273687468542714,50.0,0.0002241147467503,0.0001463550773158,1.1680994321360096e-05,0.8363345742243894
30295337_30295336_0,2,2,2,5,2290.0882507507336,90.06994939007451,190.0763168377719,56.35227784904936,0.0,0.0186211624093867,0.0,0.0,12.227949854520144,0.0006156060117506,0.0002124256223129,2.5232602332595224e-05,0.8297853716317038
11012409286_10893766824_0,3,3,2,6,2502.8111174297,134.58351398010348,266.9049359019052,0.0,0.0,0.0147319927121709,0.0110489945341282,0.0699769653828121,23.06705460215827,0.0,0.0002276079089203,1.093122356567089e-05,0.8407422343875501
301573130_301572132_0,3,3,3,2,2035.3661316763291,0.0,169.65643924758544,127.53260562817364,0.0,0.1673073764890381,0.0512520995336545,0.2562604976682727,50.0,0.0220551716606438,0.0002199949936334,1.90778732735699e-05,0.8469082964345204
1350170466_1350170511_0,1,1,0,5,561.1383616605132,1011.769436454435,430.56938533666346,158.92665949989276,0.0,0.0,0.0,0.0,33.72845172689216,0.0002241147467503,0.0001765586837625,5.742495752615182e-06,0.808747533135797
376805027_7217119091_0,3,2,2,5,1538.8334894667987,1430.1825059747785,318.15769438730933,0.0,0.0,0.0,0.0,0.0,45.69757108594596,0.0002928335573643,0.0001888416143371,5.684528584813196e-06,0.8060923798026751
1369500099_331356237_0,4,4,3,4,2026.7273210888347,665.7679445706717,86.56721205177574,0.0,0.0,0.0204102105142147,0.015307657885661,0.0357178683998758,20.93000575583295,0.0366693971677502,0.0002206067428323,1.162470684623499e-05,0.8307322236180441
2954961669_30296789_0,3,3,3,5,9.171449915395652,91.15213952555534,505.2961667135294,186.4197661090392,0.0,0.0133114746946844,0.0133114746946844,0.0,25.687367552618923,0.0012413339828131,0.0001436030175029,1.7148996596685845e-05,0.8732749926710541
30313440_30294527_0,2,2,2,6,505.68419046218855,209.89478559942955,776.1233831558218,194.74084680729965,45.055507944605104,0.0,0.0,0.0674691370567257,9.486235691453247,0.0136475909510788,0.0001908135706083,3.026928525329488e-05,0.8537310165370919
572064532_1437748533_0,2,2,2,4,360.9785951015231,863.1404363645303,136.28376599714665,0.0,0.0,0.037511076594546,0.025007384396364,0.0,50.0,0.0008700615199124,0.0001636303418458,1.5474817675424187e-05,0.8046412018842858
359234349_359234346_0,3,3,2,4,835.6393884984475,583.0619576680863,753.0753649319448,0.0,0.0,0.0813018441782651,0.0,0.0116145491683235,46.25108841258226,0.0001540145272972,0.0001847668099108,1.783458162849369e-05,0.8513026463650097
356295256_2344645253_0,4,3,3,4,1281.5307364642165,42.59800462184305,507.921255074796,0.0,15.011136511214184,0.0303074101264824,0.0216481500903446,0.0043296300180689,43.01672255529098,0.0024961555392007,0.0001791355186337,1.3723162504456925e-05,0.8546147848859735
